type,concentration_M,concentration_label,Raman_shift_cm-1,intensity_mean_of_replicate_means,intensity_sd_across_replicates,n_replicates,cv_percent
blank,0.0,Blank,342.28007175846005,88.8875687533917,26.705767651985155,3,30.044434814138324
blank,0.0,Blank,346.20575845060836,57.39078427230126,10.538104396831585,3,18.362014965384667
blank,0.0,Blank,350.13144514275666,111.89983667437644,32.557091781650016,3,29.094851922250527
blank,0.0,Blank,354.05713183490496,126.64022979232509,24.036957853854243,3,18.980507136849003
blank,0.0,Blank,357.9828185270532,110.23071591754903,4.601805276832626,3,4.174703247209887
blank,0.0,Blank,361.9085052192015,156.07474302886536,16.93383938538287,3,10.84982685651517
blank,0.0,Blank,365.8341919113498,229.94497803848958,25.458852186225815,3,11.071714809081136
blank,0.0,Blank,369.7598786034981,232.23820958131293,2.1255051691482714,3,0.9152262984545935
blank,0.0,Blank,373.68556529564637,243.24029373848532,5.153995629697782,3,2.1188905631067
blank,0.0,Blank,377.6112519877947,267.89112088228836,9.77087214455697,3,3.647329598822464
blank,0.0,Blank,381.536938679943,214.22170332553938,9.389966853404301,3,4.383293899561125
blank,0.0,Blank,385.4626253720913,155.3660391058595,15.904665766572235,3,10.236899812922116
blank,0.0,Blank,389.3883120642395,162.10081056213093,12.952925295926661,3,7.990660411264255
blank,0.0,Blank,393.31399875638783,150.073657953216,14.9958446529296,3,9.992323008215344
blank,0.0,Blank,397.23968544853614,116.4072889036559,20.143336681867446,3,17.304188484742575
blank,0.0,Blank,401.16537214068444,185.0251366143477,10.926237329097706,3,5.905271861450654
blank,0.0,Blank,405.0910588328327,212.58864906697423,5.495042888503846,3,2.584824219270842
blank,0.0,Blank,409.016745524981,166.97309557639804,8.640129389512078,3,5.174563818012712
blank,0.0,Blank,412.9424322171293,100.04377078282607,31.516399748166517,3,31.502610808804853
blank,0.0,Blank,416.86811890927754,25.027896156253927,16.655059647916385,3,66.5459835055079
blank,0.0,Blank,420.7938056014259,70.26362638245571,23.82957108706129,3,33.91451923837986
blank,0.0,Blank,424.71949229357415,160.31916060577137,7.039071965197509,3,4.390661689220514
blank,0.0,Blank,428.6451789857224,270.44153256998425,16.46442639857642,3,6.0879799940919925
blank,0.0,Blank,432.57086567787076,402.31305747758523,15.265604183298262,3,3.794459041178096
blank,0.0,Blank,436.496552370019,491.25203205076394,24.242800150812375,3,4.934900737124529
blank,0.0,Blank,440.42223906216725,501.148976656463,16.283132547333146,3,3.249160091270667
blank,0.0,Blank,444.3479257543156,379.5016654242452,23.913835076615857,3,6.301378163883039
blank,0.0,Blank,448.27361244646386,249.6541191350985,29.489352915502586,3,11.812083460775842
blank,0.0,Blank,452.1992991386122,250.12763229088637,29.939085767720968,3,11.969523516259592
blank,0.0,Blank,456.12498583076047,272.6727440262579,32.532604174060246,3,11.93100699897142
blank,0.0,Blank,460.0506725229087,181.72477510849194,49.92491147279751,3,27.472815108997505
blank,0.0,Blank,463.9763592150571,138.63371060344204,16.77053171307486,3,12.097008469351666
blank,0.0,Blank,467.9020459072053,107.88747377050875,27.58932439747716,3,25.57231477693452
blank,0.0,Blank,471.82773259935357,34.651023585505904,26.010747459147257,3,75.0648747647017
blank,0.0,Blank,475.7534192915019,121.7625857146577,19.206775944957332,3,15.773955383936325
blank,0.0,Blank,479.6791059836502,222.84873019852034,28.739997830857547,3,12.896639709481446
blank,0.0,Blank,483.60479267579854,288.7940063865441,26.355485495932793,3,9.126050026348741
blank,0.0,Blank,487.5304793679468,321.59616663891103,5.8325253493694555,3,1.8136178084231427
blank,0.0,Blank,491.45616606009503,269.1248614483538,18.021798793957704,3,6.696445173058144
