Raman_shift_cm-1,1mM,100µM,10µM,1µM,100nM,10nM,1nM,100pM,10pM,1pM,100fM,10fM,1fM,Blank
342.28007175846005,391.9169953490264,249.9689452746288,908.3598818083825,155.63840330244432,163.3593251530687,103.05002506168019,137.95051949598522,86.79660618779191,167.16989057597894,147.6131080488847,159.67983676567937,119.85518097300188,110.90949946208555,88.88756875339169
346.20575845060836,893.583048776412,408.8029201669227,1253.936487056944,373.8218310241618,587.6978536046147,327.2616477165647,230.20299250106737,277.4872718479908,362.2373089433189,320.86881531592513,238.84839182095956,483.63493369891916,188.95438260788927,57.390784272301254
350.13144514275666,1217.8053034395482,466.94494361338167,1466.2872980004815,517.8769772989965,876.601382461901,490.06439936382554,278.8095909668812,419.48012099051465,548.1674881993933,464.2031762764248,333.77830827401283,718.9405852118759,223.9848449278248,111.89983667437644
354.05713183490496,1444.6522749401004,529.881814901351,1607.7260646661618,580.3240203267706,1003.4310760951604,528.8573172728821,287.7396493445012,427.26479932484654,607.8260033847627,482.12982076110336,331.4207026308856,806.9876300958224,229.41383523368168,126.64022979232506
357.9828185270532,1611.9189503273471,615.3077305142255,1677.2146255801795,589.771842310241,1001.6087649107457,468.00890612463394,276.5299480560968,348.8541532309254,547.8413228592926,421.25263481568834,265.5308214618473,784.2598717700675,212.91141226142454,110.23071591754903
361.9085052192015,1742.5359852988497,687.5310419630731,1668.8011865680576,639.3788048594047,994.6813340726584,482.1694828029202,319.1498566070319,371.32860618421927,580.6848179077574,463.05073106845873,305.9602071849285,758.646171204674,233.1272578331185,156.07474302886536
365.8341919113498,1964.1814483723824,809.6304095404869,1685.7326776172551,734.9580104366856,1026.7988914557036,560.3403578747458,398.3120370751927,449.0917337816479,675.5436504686623,577.8520231260148,391.67136684542754,764.6053769513163,293.4437495320542,229.94497803848955
369.7598786034981,2460.6769260713936,1146.5692473607226,1920.290068761827,878.4154396741436,1021.909006706547,548.6411535310693,469.9278922121014,453.267306977821,651.7277731061746,625.7283353355608,391.79910567112296,810.1678612654255,384.2693593611708,232.2382095813129
373.68556529564637,3283.989585771957,1812.4699199650192,2530.7934233179517,1185.6651796601213,1105.0514752650743,599.0879636826073,618.5153463379606,521.6150699440606,701.6966065907275,752.7758884824377,440.7837673556192,961.0560875284916,510.3267182232294,243.24029373848535
377.6112519877947,4416.636161400621,3022.05227924182,3798.391764165164,1853.4828823191892,1432.7613171461521,840.8439302638621,942.4635605733056,779.3508845779581,951.7948743608038,1085.754786907992,645.7232219781209,1333.7669200237212,753.7137100570566,267.8911208822883
381.536938679943,5614.3238035511395,4869.150506464034,5886.10208544263,2977.8824711464495,2018.7938257058827,1169.3924993725402,1442.770084607294,1163.4207736478784,1264.9209719374128,1553.5131413167967,946.4321185092915,1972.2111678356928,1157.270544738703,214.2217033255394
385.4626253720913,6427.684565598721,6900.3041787273305,8380.392526498808,4401.573965206707,2778.8051592847196,1613.1615880034603,2053.5678787300358,1671.6736913647483,1707.1114481325453,2152.26984955188,1353.0939904143263,2761.9330220948236,1634.1937067466242,155.36603910585953
389.3883120642395,6743.382821846599,8368.884279295895,10466.811837402436,5682.79916620661,3496.11623449731,2116.331698624049,2614.4780924427305,2221.478507200126,2224.839027398845,2745.4408137456703,1807.7869627448595,3454.3291502287047,2040.7128376978885,162.10081056213093
393.31399875638783,6866.686818449059,8780.23386022125,11435.95537699274,6286.252110728087,3857.7221655078665,2363.908096255808,2882.71860980914,2502.9818111701993,2453.4756679577526,3010.20975324632,2026.9331363944195,3769.429947537329,2228.2011933847157,150.073657953216
397.23968544853614,6987.920045918668,8079.97605160311,10985.530692543402,6006.692160896241,3684.1156059733466,2273.2128424131492,2765.8328539456097,2416.6909854268956,2330.22211606278,2868.947873009219,1928.6164538789385,3610.9307880251936,2143.7698763632793,116.40728890365587
401.16537214068444,6999.378087339651,6600.1523020082595,9351.207994936458,5076.037386001839,3173.529348853334,2031.5818528899397,2365.3861149101544,2120.759625636055,2083.303911995407,2513.3685120126693,1707.7290292357725,3114.2839768176545,1816.0643453834093,185.0251366143477
405.0910588328327,6928.5329016828355,5023.4005586751355,7318.5029255510035,3935.0705133025067,2563.4326899695175,1705.1518660816955,1846.5843101811288,1698.7298873579637,1750.9820719819338,2043.7911962485007,1397.2183689960123,2523.002709395606,1419.0244912285982,212.58864906697423
409.016745524981,6679.929866216723,3689.7565862942993,5414.599399657804,2809.861187432511,1948.789551225642,1299.9643600644165,1302.005716837934,1211.1110853929329,1331.5424124449828,1504.2505157233861,993.8468770933079,1892.5893998262472,1004.4152502235653,166.973095576398
412.9424322171293,6181.363463661493,2655.8036754147283,3856.1061652973362,1864.198267113962,1424.5768771063838,921.134383677489,840.0864888603822,797.3465869260331,943.8700391917948,1026.2006185982843,643.16057412608,1320.5012048999777,640.7470517378582,100.04377078282609
416.86811890927754,5518.414324790272,1937.8303752683657,2743.0685099120765,1225.487737238595,1068.81885097309,663.9022813573396,548.1088076859215,533.9418359190264,685.1935413573541,704.5046496949697,434.95786195373404,962.5535475048074,425.01662637792964,25.02789615625393
420.7938056014259,4704.878083009589,1392.8312746740185,1927.493729047645,808.3016716914321,887.7517690724334,537.4947172804821,376.37354737105903,395.1968781892281,550.458003972574,534.7949615519475,341.3699276266303,737.4716280291227,272.9424522563285,70.26362638245571
424.71949229357415,3973.491954103913,1051.9383917788516,1396.6900391962267,581.8464467700524,716.6301273662009,473.8264490487861,304.7476737262643,317.40334531488355,442.41207709667344,439.0426531151641,297.28780690118003,570.1133665073719,217.23758408450416,160.31916060577134
428.6451789857224,3478.1421907006315,889.2038420736859,1099.3618320273506,495.458792388096,619.9930747502046,477.38520071448426,326.4486849445348,329.08078912622904,435.7450839569649,426.6065793388155,332.06743794228714,491.65102294706406,257.0522208947663,270.44153256998425
432.57086567787076,3189.1129918047054,823.5003736411601,939.6568515985404,485.8887872525889,637.6101409484689,515.8049594839183,398.18537304043565,404.4834046089211,514.6926624754407,473.1741667939219,423.5961133027036,504.34230844850714,327.80632582074634,402.3130574775852
436.496552370019,2989.9384514927565,790.3530845084709,837.8180689391346,504.4615875318702,590.0957168685404,504.38938400570197,443.53501700072525,440.02073537815176,521.7716169600376,482.09163362129846,483.1736153050169,503.7007810085392,370.920646211992,491.25203205076394
440.42223906216725,2730.582274293269,703.2583656814517,696.5140691112949,468.00706676098736,541.3228976199863,482.207529045627,410.84291717290654,443.0614981217515,528.8948692335572,459.5564234206138,498.5802402860376,433.45532718286705,350.40808316959493,501.14897665646305
444.3479257543156,2399.020102623983,598.1226436085242,542.1633678186286,336.6163677176594,425.4356779866399,362.8566247077816,316.21878817478125,312.84731229345357,418.9809288627897,337.6440885656226,362.51449398912325,284.23191764881966,276.6777277595,379.50166542424523
448.27361244646386,2017.1001701142122,471.87825271463055,382.92617973784155,170.97586641821107,223.77460401106447,166.00929861373913,191.32414144448805,108.0572516214385,173.31278376764712,137.91685102996118,151.57150247387398,113.74735378630402,170.37646836385917,249.6541191350985
452.1992991386122,1681.3177885766097,313.9022154718678,230.2796811263308,87.9483335300243,191.70922732068914,156.88870800408694,130.88061067427734,109.3548076305542,166.17424950158392,111.34772120849938,140.25184936297265,86.12689019503323,119.45503924117752,250.1276322908863
456.12498583076047,1577.0510010940511,229.94056793513795,182.00696148154532,57.294292401211884,216.86747875857452,185.14188992588262,120.98900725472937,165.23292447473565,232.5454001645411,170.33068969327405,183.93956650767905,133.623792484298,104.12162587758218,272.6727440262578
460.0506725229087,1747.788957285705,285.03828504051216,284.55622379168796,53.197189592249465,135.61801174336273,80.95558775749647,86.73616714267945,101.54114424425873,111.64288982701352,103.96878817461455,102.23017083983086,146.0839475497245,100.9499423822268,181.72477510849194
463.9763592150571,1862.1097562105083,279.87143346446334,327.88387431662966,70.18860054858322,205.83923765026654,130.8631828440846,83.4131697114014,127.60295348561486,173.63346332429438,126.92338926977055,132.3441933958995,156.7613694958751,87.44209182134468,138.63371060344204
467.9020459072053,1791.658933954007,239.65057994989587,328.3780221784875,106.126216414093,299.62332661663976,201.12842094989583,112.77389687072404,181.33486901203753,273.0116847389301,173.73584636496088,177.28604456806372,189.7469269437646,86.67258190767974,107.88747377050876
471.82773259935357,1653.8250049078313,264.31767612222785,425.15759977911006,190.0051649315938,298.5351424733521,171.86757723836573,138.65330573084745,191.76848272757186,219.44369652366132,141.6596253350415,135.52696776152808,265.2167928392387,136.23034835034127,34.6510235855059
475.7534192915019,1512.9700029246417,235.13875406316254,570.3040340122251,323.9754099140031,482.45530974483165,321.14254743525885,191.73738252561137,325.609754203028,374.0106003693247,262.142539405772,247.44807394771038,404.08824099572723,176.33160429542366,121.7625857146577
479.6791059836502,1625.4051505379553,298.7829359336815,905.2999021370597,547.477149365442,664.8627138048117,492.5287595979194,273.4291598690773,463.29038730445876,549.2857451940969,397.25420829326856,355.9857740772182,594.7635420663433,250.06655451485543,222.84873019852031
483.60479267579854,1885.6940059413428,406.44661080602623,1284.2789203364205,746.3915104022063,773.8760424371286,608.6270706869707,328.69263980112987,525.0875743311349,644.5528523472608,450.0595314670451,372.1037271635842,730.741149123112,295.0459682012279,288.79400638654414
487.5304793679468,2072.487610834697,459.47352706963164,1491.645530316267,825.7847126628192,880.6365041861943,732.7422384537354,358.28876036145357,598.1199991432494,752.5223212567912,501.8107174294679,408.13664230933534,818.3294123432765,316.42859602651043,321.59616663891103
491.45616606009503,2135.040686983078,494.48818453030714,1498.3325399729392,759.5337205039501,835.0326582908102,707.8973901085599,344.2375618391184,599.336501462541,699.3384124345826,474.61609261535557,407.07244261272245,842.8399562159103,336.31844802799395,269.1248614483537
495.3818527522434,2051.371240466837,481.3766971500345,1305.4913925837354,612.204082784304,777.5347179331965,653.4221880283651,312.432194935581,549.9589332467713,634.2450242513415,435.2234469801876,399.18458657669385,803.3725441309899,326.55673070693507,237.81039068825572
499.30753944439164,1932.995560169296,471.01779490432466,1058.6615817277295,536.7990096107609,787.2925311900498,670.7385429206264,326.1464513869927,543.4397650680701,639.3668219042487,453.1980888430977,428.179121290102,818.0420255683238,344.631398401932,257.5310506605263
503.2332261365399,1779.4546388362137,446.7504588726376,820.0048074740946,521.4403013874191,806.8869955318631,704.2291527283382,358.2138493636974,592.1566999051779,662.0903410695279,504.7087155160996,484.9322944741597,863.0410519045179,360.51177204037145,329.41156192959556
507.15891282868824,1562.1807961796826,396.854695515507,609.2928371607219,461.5213955016301,811.0457277567367,701.2079600716875,352.24608181728064,602.9721770072287,666.7154444417137,531.8056206156405,511.0386353795844,816.0195643477321,325.54482281028356,365.0853513169672
511.0845995208365,1355.864521059574,379.8750403710716,494.8503492588232,323.8072580284816,648.1649022657199,502.9061433709047,259.5920779310808,408.79076284453305,470.9274255683002,394.04463104582493,371.94502681368147,640.6960585787582,243.88689266809882,259.3614587954255
515.0102862129849,1169.608316256837,363.24807155160903,446.5789436188892,218.6490314728049,466.60738607840455,290.5753783153392,168.28118489759288,212.61366911400864,289.340030747168,243.4110356898353,212.1285606268792,491.4994538464876,184.94893364898718,141.45318611482736
518.9359729051331,970.8086415137865,299.4153894247218,389.4857950164078,227.00468716697094,479.61836420601446,312.24466670290315,183.24747470901127,248.3888070817129,365.8297424787792,279.4695094064608,263.2153959628524,481.28740037045264,186.7946753884454,167.87845784471864
522.8616595972813,851.4973044183423,293.39872644150023,387.33042380264504,316.6016030863697,494.83294213958214,379.14113111671645,254.19154520379453,356.58916813015975,446.2483379476435,352.88887306056245,378.6862962106635,553.4967532936753,248.62765704257467,198.9032685734896
526.7873462894297,736.8754094730996,276.18911955830777,364.2026457134583,320.4287779668848,450.9009048137246,371.73940676302936,256.2514739994678,369.71280653303614,428.42622731920966,343.71068543384956,383.9337558564238,554.2404186857707,252.45246806116455,195.48066148978833
530.713032981578,626.9845387756918,244.60940471311235,341.80468025333096,222.2011487534283,378.002477915198,298.4709571794874,197.0549161213955,277.1790178476032,343.3466828436395,254.44700315321822,278.1921499526915,428.0428575677333,185.01577362857876,141.16966087707834
534.6387196737262,615.7943580468375,279.1834404056129,425.78465370532865,174.27437292702035,241.44959143334435,180.61446922483503,146.7258259745621,155.85704363105106,198.62025398003757,153.27813553675844,168.01929162570843,269.69614243649687,139.2923561884696,49.645981489748436
538.5644063658746,612.7804484714744,295.2890702129845,516.7100869163381,235.7485011422212,220.37004642301466,240.3614765130973,161.66950513924894,190.35874991202766,252.7600162836237,199.63366344843067,211.0518598417803,206.65000885024722,153.59667634569894,75.10004754922403
542.4900930580228,556.525869848091,300.2353977057049,551.2634886880139,307.30300365122406,246.4775819032724,359.3664565482739,217.0657769657349,288.97732710839784,361.970352766386,277.43198568280417,276.6148900132459,177.8722016734997,191.95493986365923,155.16149108241044
546.415779750171,485.590474233749,363.74051985975973,562.4658693093236,338.09259071411515,157.54833752766896,325.2135613744621,253.39234448557156,246.7019659905341,237.32240196402458,224.425606129486,218.78426574851022,146.84231433178905,242.22465071369248,149.98657427728412
550.3414664423194,309.4986300906674,311.0073579761013,432.2906895168452,366.35353053100255,205.97827228229013,408.6259298638419,320.0394880463697,315.7953122806077,283.18172715574224,291.0781660852065,318.5580114725948,210.66947395040825,300.9076864877797,224.24302283211583
554.2671531344677,62.79385807797369,114.38975031194967,180.98557589031412,295.54265351009076,324.4563304282336,500.6677275823883,345.871309996463,421.2616116346761,448.3555974965656,388.82334523997076,467.2553409144254,241.64856687835754,274.1967948140434,359.2456960213327
558.192839826616,40.427921154524206,95.25406947241403,121.01069849138518,132.98889674692228,205.886943424672,275.69729984112655,258.91074858065,205.7816788887667,216.07133768109162,185.00425011029887,247.2599628540245,136.26516726806292,217.54936619417379,220.57005284232315
562.1185265187643,93.47652908960323,115.02423168838949,124.69950523646327,20.031496388893217,108.25743393526027,93.20580145386975,187.08711870146755,19.84020388878365,-3.848403126124477,14.34056871764475,46.31299625860852,34.98884816059974,163.79085665482788,105.4349875795763
566.0442132109125,115.44476422964037,65.45172212459093,94.77490059001424,118.89409806288252,237.9060328547878,269.1739263933153,272.2457499172011,192.7358185638609,222.2624113799516,169.6268480074667,248.51548331271485,172.5520955547069,204.76825880824876,239.55730927183737
569.9698999030609,187.613099903164,68.57573649870251,109.49520743279581,257.9914834616263,351.6505789714795,445.6609648940588,362.37725733067396,370.5895141130973,461.58287331760886,347.52416916722734,459.41170801376904,352.94031958863417,276.33710283876945,362.79931952573327
573.8955865952091,313.63461067053015,137.80359229388148,159.02904559608322,218.27213986134433,281.39722721184904,331.5657753260137,296.90365639570047,260.8927456518198,355.15129293665547,267.1449697426477,342.5348715529809,295.21244294410474,256.8908552566394,298.45609265394415
