repository_path,source_name,source_relative_path,source_sha256,repository_sha256,source_bytes,repository_bytes,status,role,sanitized_user_path_occurrences,note
data/processed/spectrometer_calibration/si_calibrated.csv,Raman_spectra_data.zip,Hand-held spectrometer calibration/Si_calibration.csv,04c2095a69c881daf0133bb2506e7fea247ac7e33427ec356747f6c64e62c825,04c2095a69c881daf0133bb2506e7fea247ac7e33427ec356747f6c64e62c825,25286,25286,legacy_derived,instrument_calibration_processed,0,Silicon axis-calibration pair retained without changing intensity values.
data/published_snapshot/analytical_enhancement/aef_summary.csv,Raman_spectra_data.zip,Analytical Enhancement/Processed summary/4_ATP_AEF.csv,32268c39fb6bea81cfc4bea64d7480885d9a9fa07e0aac5dd63fc91806b3b205,32268c39fb6bea81cfc4bea64d7480885d9a9fa07e0aac5dd63fc91806b3b205,272268,272268,publication_snapshot,manuscript_supporting_table,0,Selected and normalized for the publication snapshot; raw provenance still requires status review.
data/published_snapshot/blind_samples/blind_predictions.csv,Raman_spectra_data.zip,Blind samples/Processed summary/4_ATP_blind_samples.csv,0d1eb987b4bd0bb03837a3acb7c32ff4e05d472507efecbd2540beaa15d22b22,0d1eb987b4bd0bb03837a3acb7c32ff4e05d472507efecbd2540beaa15d22b22,286650,286650,publication_snapshot,manuscript_supporting_table,0,Selected and normalized for the publication snapshot; raw provenance still requires status review.
data/published_snapshot/calibration_curve/calibration_at_selected_shifts.csv,Raman_spectra_data.zip,Calibration curve/Processed summary/4_ATP_750_5_5_L_CC.csv,b309bc3e663dbc11ac71ccaabacd9449286bb813ce09bcadeef7042361a9ff93,b309bc3e663dbc11ac71ccaabacd9449286bb813ce09bcadeef7042361a9ff93,168189,168189,publication_snapshot,manuscript_supporting_table,0,Selected and normalized for the publication snapshot; raw provenance still requires status review.
data/published_snapshot/calibration_curve/final_spectra_by_accumulation_wide.csv,Raman_spectra_data.zip,Calibration curve/Processed summary/final_spectra_by_accumulation_wide_ascii.csv,ccdce5c1299b1ed12e4713f3dae8ba18139a4cd44b2d6d731acf22df57d952fd,ccdce5c1299b1ed12e4713f3dae8ba18139a4cd44b2d6d731acf22df57d952fd,1624459,1624459,publication_snapshot,manuscript_supporting_table,0,Selected and normalized for the publication snapshot; raw provenance still requires status review.
data/published_snapshot/calibration_curve/replicate_mean_sd_by_shift.csv,Raman_spectra_data.zip,Calibration curve/Processed summary/replicate_mean_sd_by_shift.csv,db72f9cf1c484bc0c739e9ef71ff42c09c9ea938b8f5fe45cd675ec8092a6289,db72f9cf1c484bc0c739e9ef71ff42c09c9ea938b8f5fe45cd675ec8092a6289,1367496,1367496,publication_snapshot,manuscript_supporting_table,0,Selected and normalized for the publication snapshot; raw provenance still requires status review.
data/published_snapshot/calibration_curve/summary_by_concentration.csv,Raman_spectra_data.zip,Calibration curve/Processed summary/summary_by_concentration.csv,35bb3c351a5f0c9d6a023e0d97f8925828c1dc0730f7218afad89068387442ed,35bb3c351a5f0c9d6a023e0d97f8925828c1dc0730f7218afad89068387442ed,3025,3025,publication_snapshot,manuscript_supporting_table,0,Selected and normalized for the publication snapshot; raw provenance still requires status review.
data/published_snapshot/optimisation/4atp_500_5_5_l.csv,Raman_spectra_data.zip,Optimisation/4_ATP_500_5_5_L.csv,9adfc34c631f4030903e68be2df295173b2ce6052a2107847873b493e45de506,9adfc34c631f4030903e68be2df295173b2ce6052a2107847873b493e45de506,169690,169690,publication_snapshot,manuscript_supporting_table,0,Selected and normalized for the publication snapshot; raw provenance still requires status review.
data/published_snapshot/optimisation/4atp_750_5_5_h.csv,Raman_spectra_data.zip,Optimisation/4_ATP_750_5_5_H.csv,6cc63bdeaf81720e66cfe2c7c5903dc231c9514abf65860cea37ec134f298128,6cc63bdeaf81720e66cfe2c7c5903dc231c9514abf65860cea37ec134f298128,175113,175113,publication_snapshot,manuscript_supporting_table,0,Selected and normalized for the publication snapshot; raw provenance still requires status review.
data/published_snapshot/optimisation/4atp_750_5_5_m.csv,Raman_spectra_data.zip,Optimisation/4_ATP_750_5_5_M.csv,2acc6a7f9d3c6469047939445e3252405f02a2bcc0e9d127c44a87071d6dcf7e,2acc6a7f9d3c6469047939445e3252405f02a2bcc0e9d127c44a87071d6dcf7e,170726,170726,publication_snapshot,manuscript_supporting_table,0,Selected and normalized for the publication snapshot; raw provenance still requires status review.
