relative_path,sha256,bytes,ast_parses,contains_absolute_path,status
Scripts/Calibration Curve T/Failed/Raman_CC_b6.py,d32819fa882aa7807194807aa9981a0882a78d11cb9a48aa9081461f5219f492,25324,true,true,superseded_not_distributed
Scripts/Calibration Curve T/Raman_CC2.py,ccaef70144988133e201c661796f5e6f5613196da06ab6c58eb31a0ced4193ba,24223,true,true,superseded_not_distributed
Scripts/Calibration Curve T/Raman_CC_b4_n.py,babeeba29734b9b0cb64fabe0c00311438bfb638c0970c2f1c085d2395d726aa,21256,true,true,superseded_not_distributed
Scripts/Calibration Curve T/Raman_CC_b5_nn.py,2139a6105af222daa4f18744905c16614f8411879917a8972b86343d848d0b1c,20789,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/Gooods/RM_4-ATP_HS_3.py,0ad7cc79aa1dc57a641da06b566084c612391b01af7565614715ab8cc3e29bdb,7724,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/Gooods/RM_Peak_finder.py,00014c33719090d5e4af9e9f671dffd9d0dcfe8a18d42b360ae703d5401ac591,8349,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RM_4-ATP_AEF.py,fe7180ee3602b89cec091bf2a75b6273965bda11963251da7c279528ab40ce80,13710,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RM_4-ATP_AEF_2.py,c6bba5671d00ca4d24500334dd716cfa18d06332dcba5dfca74730ae3fa10381,13774,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RM_4-ATP_HS.py,2fe09e435dda8d46d544accaf3fa415f13c40b0f8553ee946b8353289f7128d4,7612,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RM_4-ATP_HS_2.py,7b71fa8ae0e3b2e5a563b4e59b6c64df3282725020f4180dff8d825632a8851d,14289,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RM_4-ATP_HS_3.py,7667f0f2bed9006c8869dd56361c75f51c5a6e3a415cec7495aff8ef6509599b,7733,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RM_Peak_finder.py,00014c33719090d5e4af9e9f671dffd9d0dcfe8a18d42b360ae703d5401ac591,8349,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RM_vs_RP_Peak_finder.py,b44db2dc3b77e15877b43de9475b6a758d6f992118be2e52505126558a03ccea,6586,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RM_vs_RP_Peak_finder_t.py,55a1e9b4cb5a7cdb507a14031c45fb21383c015b68b41560e02e417a47b978d0,10689,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RP_4-ATP.py,389a24d344a3948369e8b97c679890403c598a53fcc3ed92055ede6fe56a9a47,20948,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RP_4-ATP_HS_t.py,494401b43dbf12a76acc02cda673f6a4f0d378ed9525a622c2fa3f832cbe4229,7749,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RP_4-ATP_HS_t_rep_acc.py,b6113fb927dc8e01335032551b001466d44ad0f54dcb91d2cf61f13a85490bcb,6862,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RP_Peak_finder.py,bbe4b35096efd222358c558f3fa7daa895f44af614b97dc2ed64b93900a4352c,15414,true,true,superseded_not_distributed
Scripts/Definitives/25-09-25/RP_Peak_finder_robust.py,cc05c2686442a26b8cb39ccd9fe315786bfc207632cbc209a3ee1466e0278903,24869,true,true,superseded_not_distributed
Scripts/Examples/Baseline_smooth.py,b7c26a353e558b9292f2dc50bfcdf3f7453222a27af051dc78313745a20635e2,11208,true,true,superseded_not_distributed
Scripts/Examples/Baseline_smooth_all_files.py,c62136e482a957d8e6c3a27bdc299dfd9399dc57a9c731137418a9af40b09443,2346,true,true,superseded_not_distributed
Scripts/Examples/Raman Spectral container.py,068a53c605cb28690e89604621864cf4c2e4ad52e3b6dc9f04753da37610f2ff,1377,true,true,superseded_not_distributed
Scripts/Examples/raman_baselines.py,fd513350d4dccb23c23b0e1281ba8e0310419e45c719cecd57c30beadeb4f7a9,7296,true,true,superseded_not_distributed
Scripts/Examples/Raman_visualization.py,e832f7c6eb318bb10ebbec30f9a7fcdef7f0a4ae1573dcaefa9774b9ce0f4dc2,8014,true,true,superseded_not_distributed
Scripts/Fails/Baseline_smooth_intentosv.py,db525052a92a99bbc2d88eec768c09cd4e365fb1d4a22b64d67c589cd8445ab0,10703,true,true,superseded_not_distributed
Scripts/Fails/raman_peaks_plots_intento.py,719732c2ca69ee911e873e1dcf0039a7d66622d5498f02bf6f9387ba3dd33d48,11106,true,false,superseded_not_distributed
Scripts/Fails/Raman_Spectra_pt_FAIL.py,1e580226cd18ce512e435454d67eb6f1c842d6817d95a82cddf378e1bb0f63d0,13772,true,true,superseded_not_distributed
Scripts/Fails/Raman_Spectra_pt_merge_FAILED.py,69163aec96fc899495245665fd36f11c3b18cfa90e8506a1867cc388ffbeae5b,13194,true,true,superseded_not_distributed
Scripts/Finals/Raman_bsf_RM.py,b25ced52647a671aef152b6126e0ff3e78571bbeed7f385ebe5f3db85334d2c8,8123,true,true,superseded_not_distributed
